"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2017,5,5,4,0,3.3,0.2,0.05,1.328523408,5.953429499,0.176351920885484,0.0267,216.8964802
2017,5,5,4,30,3.3,0.2,0.05,1.568503978,-85.54311574,0.245153013442625,0.0556,201.9246289
2017,5,5,5,0,3.3,0.2,0.05,1.777763326,-979.3105525,0.398167655642695,0.0813,204.3886374
2017,5,5,5,30,3.3,0.2,0.05,1.802755537,29.89032216,0.520246039869599,0.122437083,210.6096761
2017,5,5,6,0,3.3,0.2,0.05,1.431777008,73.69492549,0.583424824634674,0.117205046,205.3776273
2017,5,5,6,30,3.3,0.2,0.05,1.563245551,7.358933559,0.265894716006167,0.0423,207.564521
2017,5,5,7,0,3.3,0.2,0.05,1.228936654,-5.828926265,0.336867850944551,0.0769,205.9549078
2017,5,5,7,30,3.3,0.2,0.05,0.423247731,-2.845847508,0.418584281835809,0.0862,104.5238735
2017,5,5,8,0,3.3,0.2,0.05,0.721913197,-1.166470554,0.54000172036763,0.0771,13.15693874
2017,5,5,8,30,3.3,0.2,0.05,1.193924781,-5.965607525,0.793361254410625,0.167205216,352.2462299
2017,5,5,9,0,3.3,0.2,0.05,1.655637924,-5.402826483,0.642871973257506,0.177990644,54.98619158
2017,5,5,9,30,3.3,0.2,0.05,1.980609477,-11.29443453,1.1364756622999,0.245874783,69.17218023
2017,5,5,10,0,3.3,0.2,0.05,1.619853632,-9.3904344,0.743242823712412,0.245256741,67.08510349
2017,5,5,10,30,3.3,0.2,0.05,2.609539299,-12.05274391,0.991613933443858,0.262349159,59.76080286
2017,5,5,11,0,3.3,0.2,0.05,2.863035772,-4.120782923,1.46211418603336,0.208862791,42.74253842
2017,5,5,11,30,3.3,0.2,0.05,2.294030237,-5.61474228,0.981725510517069,0.199232081,54.92283329
2017,5,5,12,0,3.3,0.2,0.05,2.009121886,-1.299085003,0.969428019504285,0.103286674,51.50010879
2017,5,5,12,30,3.3,0.2,0.05,2.294646138,-4.341447456,1.4293874212403,0.206296357,64.27368037
2017,5,5,13,0,3.3,0.2,0.05,3.558845644,-18.19822209,1.11692872735909,0.364451066,75.66442466
2017,5,5,13,30,3.3,0.2,0.05,3.314144562,-20.74831902,1.23666432794029,0.280758015,74.72665732
2017,5,5,14,0,3.3,0.2,0.05,4.069214051,-19.13902331,1.86438123837374,0.311665847,58.21235451
2017,5,5,14,30,3.3,0.2,0.05,4.072388416,-52.05989044,1.11469186414901,0.344992357,34.88140641
2017,5,5,15,0,3.3,0.2,0.05,3.362534974,-440.6688194,1.33849114565618,0.283070715,68.15058591
2017,5,5,15,30,3.3,0.2,0.05,3.404381002,-20.45322732,0.920727327714346,0.279602944,77.40989707
2017,5,5,16,0,3.3,0.2,0.05,2.281760423,-44.03798092,2.08122408740626,0.44272569,126.6326756
